photinus humidite temperature irradiance
51 1.57558277406084 14.5569296159585 0.085612
95 4.78713858963209 21.7201106697409 2.262748
92 3.13694024811212 26.858190187798 11.477074
74 2.6137431686657 20.9472007905133 9.187505
46 3.37858650969396 13.587751155452 12.556146
53 2.54853808646856 16.6617148332521 0.224254
30 2.2571796069071 13.6703726106718 46.246701
37 3.15506832315601 22.3561960991413 113.502765
146 2.41756132741033 28.1720809542962 4.59114
86 2.63719711307809 23.4817478124295 14.311886
94 2.77417220225656 29.7828395703546 54.059843
64 3.23898111478667 18.3993014995145 11.552271
25 2.55320118655169 23.4454834973177 136.925
77 2.9323934231478 20.0460457501132 6.280993
54 2.87781109634558 14.4777245828735 6.636999
75 1.99256941432979 22.1998812064736 12.783181
14 4.10109296838292 8.85093405653715 53.855181
14 4.40191247978192 22.527515461894 186.308
97 2.55731449746833 27.8124469652159 0.562607
50 1.61361993289288 26.8479527475845 95.927666
39 2.06950365114653 11.2980925428863 5.921829
49 3.26196143177815 18.8882639375384 54.738962
81 2.97000643530082 29.8948004815382 64.950714
74 2.72452438267302 20.4164667555228 4.614013
50 2.95069772915923 12.650874062227 0.800126
53 3.16711770208247 16.9775548731594 27.270181
74 1.73602305360102 22.8101103170749 22.000949
10 4.7762974284864 20.779444831513 165.534
179 2.77517051977783 36.4326258431826 0.340494
67 2.51248368875253 21.1983757481894 35.603202
64 3.62171455219183 17.2613871956377 0.059126
79 3.75491469927724 19.7233795427086 0.168024
32 1.3806018963616 22.7012946236633 132.223
26 3.96896371001542 21.4437040165984 120.204733
73 2.87898806002629 22.7160158838099 10.481513
19 3.27834254215933 19.5865781743265 122.259645
91 3.70622784128462 25.9064213277692 7.366145
6 2.12415782791703 17.4664101402866 129.4885
69 3.9408345934382 17.1439330077924 0.864475
70 2.28041316230757 20.86568063547 6.398443
27 3.69794702958885 13.8340063143883 67.792316
53 3.64844889326142 26.8274247071138 122.223
55 2.17809135361533 14.6834876248719 0.020197
80 1.55057631925708 21.2504723185189 3.279295
87 3.35431044949996 27.1165079682396 48.758104
18 3.30319362998549 19.1581757681393 132.64
31 3.30251999000676 14.2465307941613 78.8475
102 3.18007630279603 27.4002786469422 6.327886
56 4.22490009675538 15.7061619628596 4.374299
58 0.8943784047388 25.9351800579277 79.680502
